#,Year,Title,Venue,Dataset,category,Link
1,2018,Learning to Segment Medical Images with Scribble-Supervision Alone,MICCAIW,"ACDC, NCI-ISBI 2023",Pseudo-labeling (Self-training),x
32,2025,AttenScribble: Attention-enhanced scribble supervision for medical image segmentation,Journal of Visual Communication and Image Representation,,,
33,2025,Scribble-supervised medical image segmentation based on dynamically generated pseudo labels via multi-scale superpixels,BSPC,,,
34,2025,Pick and mix reliable pseudo labels for scribble-supervised medical image segmentation,Neurocomputing,,,
35,2025,QMaxViT-Unet+: A query-based MaxViT-Unet with edge enhancement for scribble-supervised segmentation of medical images,Computers in Biology and Medicine,,,
36,2025,S2L-CM: Scribble-supervised nuclei segmentation in histopathology images using contrastive regularization and pixel-level multiple instance learning,Computers in Biology and Medicine,,,
37,2025,"Weakly supervised segmentation of retinal layers on OCT images with AMD using uncertainty 
prototype and boundary regression",MedIA,,,
38,2025,ScribbleVS: Scribble-Supervised Medical Image Segmentation via Dynamic Competitive Pseudo Label Selection,,,,
39,2026,Scribble-Supervised Medical Image Segmentation With Dynamic Teacher Switching and Hierarchical Consistency,ISBI,,,
40,2026,From Few to More: Scribble-Based Medical Image Segmentation via Masked Context Modeling and Continuous Pseudo Labels,IEEE JBHI,,,
41,2025,Weak-Mamba-UNet: Visual Mamba Makes CNN and ViT Work Better for Scribble-based Medical Image Segmentation,IEE TBE,,,
42,2026,SPC-Seg: A Sam-Guided Progressive Consistency Framework with Anatomical Priors for Scribble-Supervised Segmentation,ICASSP,,,
43,2026,"
Scribble-Supervised Multi-Organ Segmentation via Epistemic-Driven Hardness-Adaptive Focusing",IEEE TMI,,,
44,2026,Weakly Supervised Medical Image Segmentation with Feature Reference Enhanced Prompt,ICASSP,,,
45,2026,TABNet: A Triplet Augmentation Self-recovery framework with Boundary-aware Pseudo-labels for scribble-based medical image segmentation,Image and Vision Computing,,,
46,2026,Masked image modeling-guided cross-image prototype learning for scribble-supervised medical image segmentation,ESWA,,,
47,2026,Efficient 3D medical image segmentation via Single-Slice Scribble Annotations: A near unsupervised approach,BSPC,"Hướng mới, chỉ scribble trên 1 slice",,
48,2026,Scribble consistency match and pixel-level prototype contrastive calibration for weakly supervised medical segmentation,Neurocomputing,,,
49,2026,ZScribbleSeg: A comprehensive segmentation framework with modeling of efficient annotation and maximization of scribble supervision,MedIA,,,
50,2026,PS-Seg: Learning from partial scribbles for 3D multiple abdominal organ segmentation,Neurocomputing,,,
51,2025,GloW-VSNet: A scribble-based weakly supervised framework for global-view vitiligo lesion segmentation,MedIA,,,
52,2026,MambaEviScrib: Mamba and evidence-guided consistency enhance CNN robustness for scribble-based weakly supervised ultrasound image segmentation,Infomation Fusion,,,
53,2026,Visual Mamba-CNN for scribble-based segmentation in weakly supervised learning for photoacoustic tomography,ESWA,,,
